order_id,gender_category,product_line,product_name,size,units_sold,price,discount_applied,revenue,order_date,sales_channel,region,profit
2001,Women,Soccer,Tiempo Legend,2,3.0,4957.93,0,0.0,2024-07-09,Retail,Hyderabad,-112.53
2002,Women,Soccer,Premier III,2,4.0,5879.875,0,0.0,2024-07-09,Retail,Mumbai,3337.34
2005,Women,Training,Flex Trainer,2,1.0,7363.96,0,0.0,2024-09-12,Retail,Delhi,1415.98
2007,Kids,Training,SuperRep Go,2,1.0,5628.213958333334,0.32,0.0,2025-06-04,Retail,Bangalore,2928.36
2008,Women,Soccer,Premier III,11,-1.0,5879.875,0,0.0,2024-10-11,Online,Hyderabad,-731.18
2009,Men,Soccer,Mercurial Superfly,2,4.0,6274.248378378378,0,0.0,2024-10-11,Online,Pune,3929.61
2010,Kids,Lifestyle,Waffle One,3,1.0,7949.83,0,0.0,2025-01-16,Online,Pune,1965.56
2011,Women,Training,Flex Trainer,3,-1.0,9586.08,0,0.0,2025-01-16,Retail,Hyderabad,1667.08
2016,Women,Basketball,Air Jordan,2,1.0,9871.75,0.3,6910.22,2025-05-31,Retail,Hyderabad,2452.69
2017,Women,Basketball,Air Jordan,9,4.0,6064.126491228069,0,0.0,2025-03-17,Retail,Delhi,1946.24
2018,Men,Training,Metcon 7,4,0.0,6019.014594594595,1.17,0.0,2025-03-17,Online,Bangalore,-966.89
2019,Kids,Running,Air Zoom,6,0.0,3424.06,0.32,0.0,2025-01-17,Online,Hyderabad,1915.24
2020,Kids,Soccer,Tiempo Legend,3,-1.0,5638.320256410257,0.67,0.0,2025-03-28,Retail,Mumbai,439.96
2021,Men,Running,Free RN,3,-1.0,7086.7,0.66,-2409.48,2024-11-19,Retail,Hyderabad,-1120.49
2024,Kids,Training,SuperRep Go,4,0.0,5628.213958333334,0.5,0.0,2024-12-28,Retail,Bangalore,1842.35
2025,Women,Basketball,Kyrie Flytrap,2,3.0,9820.5,0,0.0,2024-12-28,Retail,Mumbai,1900.15
2026,Kids,Lifestyle,Blazer Mid,4,1.0,5995.4456451612905,0.16,0.0,2024-08-10,Retail,Kolkata,2301.64
2029,Men,Training,ZoomX Invincible,12,0.0,6594.948909090909,0,0.0,2023-10-28,Online,Bangalore,-185.67
2032,Women,Lifestyle,Blazer Mid,4,1.0,5995.4456451612905,1.07,0.0,2025-04-11,Retail,Mumbai,-555.16
2033,Men,Soccer,Mercurial Superfly,4,-1.0,6274.248378378378,0,0.0,2025-04-11,Retail,Kolkata,-1005.71
2037,Kids,Running,Pegasus Turbo,7,3.0,5653.14,1.01,-169.59,2025-02-15,Retail,Pune,2776.96
2002,Women,Basketball,Zoom Freak,4,3.0,5075.22,0,0.0,2025-03-07,Retail,Delhi,145.08
2045,Kids,Lifestyle,Dunk Low,4,4.0,6179.874130434783,0,0.0,2025-04-06,Retail,Delhi,1833.94
2047,Women,Training,SuperRep Go,10,1.0,8577.75,0,0.0,2024-06-13,Retail,Bangalore,2888.68
2049,Kids,Soccer,Tiempo Legend,3,1.0,7767.2,0,0.0,2024-10-27,Retail,Pune,311.48
2050,Men,Running,Air Zoom,3,1.0,5842.576458333334,0.57,0.0,2024-10-27,Retail,Kolkata,682.12
2052,Men,Training,Flex Trainer,10,3.0,9155.96,0,0.0,2024-10-08,Retail,Pune,2184.8
2053,Men,Lifestyle,Air Force 1,4,3.0,6009.58,0,0.0,2024-10-02,Online,Delhi,3384.92
2054,Women,Training,Flex Trainer,11,-1.0,5957.5976190476185,0,0.0,2025-06-23,Online,Mumbai,-549.76
2056,Men,Running,React Infinity,3,3.0,6447.061224489796,0,0.0,2024-05-31,Retail,Bangalore,-244.44
2048,Men,Lifestyle,Waffle One,2,3.0,6216.29,0.94,1118.93,2024-09-14,Online,Mumbai,-642.02
2060,Men,Lifestyle,Waffle One,3,2.0,7979.26,0,0.0,2024-07-11,Online,Bangalore,2821.59
2063,Women,Basketball,Air Jordan,2,1.0,9751.0,0.16,8190.84,2024-09-06,Retail,Pune,1130.31
2064,Kids,Running,React Infinity,3,2.0,7557.71,0,0.0,2025-03-02,Online,Bangalore,3277.44
2066,Men,Soccer,Phantom GT,4,-1.0,5259.05,0,0.0,2024-12-10,Online,Mumbai,1022.82
2067,Kids,Basketball,LeBron 20,3,4.0,3588.38,0,0.0,2025-05-06,Online,Kolkata,161.5
2071,Kids,Lifestyle,Blazer Mid,2,3.0,7849.81,0.49,12010.21,2025-01-12,Retail,Pune,-882.96
2073,Women,Lifestyle,Blazer Mid,12,4.0,5995.4456451612905,0.85,0.0,2024-11-03,Online,Hyderabad,443.86
2074,Men,Training,Flex Trainer,3,-1.0,5957.5976190476185,0.57,0.0,2024-11-03,Online,Kolkata,1958.47
2075,Kids,Basketball,Air Jordan,3,4.0,4251.74,0,0.0,2025-07-14,Online,Pune,2345.35
2079,Men,Running,Pegasus Turbo,4,-1.0,4322.06,0,0.0,2025-01-19,Online,Bangalore,279.78
2084,Men,Training,Metcon 7,2,2.0,6019.014594594595,0,0.0,2023-12-24,Online,Mumbai,408.39
2086,Men,Soccer,Mercurial Superfly,3,0.0,6274.248378378378,0.45,0.0,2024-10-11,Online,Kolkata,1742.66
2088,Women,Running,Free RN,4,4.0,6094.6030612244895,0,0.0,2025-04-26,Online,Bangalore,2702.93
2089,Women,Training,Flex Trainer,3,2.0,6874.77,0.6,5499.82,2024-12-02,Online,Mumbai,-1076.66
2092,Kids,Basketball,Zoom Freak,4,2.0,6748.174761904761,1.13,0.0,2024-12-02,Online,Delhi,207.2
2093,Men,Running,Free RN,4,0.0,6094.6030612244895,0.29,0.0,2024-12-02,Online,Kolkata,-146.73
2094,Kids,Training,Flex Trainer,10,1.0,4276.36,0,0.0,2024-11-10,Retail,Delhi,2974.58
2096,Men,Running,Pegasus Turbo,4,2.0,6047.902291666666,0,0.0,2024-12-24,Online,Kolkata,288.66
2099,Kids,Soccer,Mercurial Superfly,2,2.0,6274.248378378378,0.32,0.0,2025-02-01,Retail,Mumbai,360.97
2100,Kids,Soccer,Phantom GT,8,1.0,5937.52,0,0.0,2025-07-11,Retail,Mumbai,2287.57
2102,Women,Soccer,Mercurial Superfly,4,-1.0,6274.248378378378,0.77,0.0,2025-04-10,Online,Pune,284.17
2103,Women,Basketball,LeBron 20,4,-1.0,6777.88,0,0.0,2025-01-08,Online,Kolkata,469.61
2107,Women,Running,React Infinity,2,4.0,6447.061224489796,0,0.0,2024-08-30,Online,Hyderabad,-184.69
2109,Kids,Basketball,Zoom Freak,2,0.0,6748.174761904761,0,0.0,2025-01-29,Retail,Kolkata,3791.88
2110,Kids,Running,Air Zoom,12,1.0,5842.576458333334,0.42,0.0,2024-12-25,Retail,Pune,-259.29
2114,Women,Training,Flex Trainer,4,1.0,3167.33,0.53,1488.65,2023-12-19,Retail,Pune,1567.37
2115,Kids,Soccer,Phantom GT,6,2.0,7607.45,0,0.0,2023-12-19,Online,Kolkata,1969.03
2117,Women,Training,SuperRep Go,3,0.0,7645.96,0,0.0,2024-10-30,Online,Pune,2037.43
2118,Kids,Basketball,Zoom Freak,4,2.0,8426.54,0,0.0,2023-09-21,Online,Hyderabad,2696.85
2119,Women,Training,Metcon 7,11,-1.0,6019.014594594595,0.41,0.0,2025-04-05,Retail,Kolkata,2887.81
2000,Kids,Running,React Infinity,2,-1.0,6447.061224489796,0,0.0,2023-11-20,Retail,Kolkata,929.75
2126,Kids,Running,Pegasus Turbo,3,-1.0,5399.58,0,0.0,2024-12-14,Retail,Pune,2508.34
2127,Men,Training,Metcon 7,3,-1.0,4020.5,0,0.0,2023-08-19,Online,Mumbai,3718.37
2130,Men,Soccer,Premier III,10,3.0,5879.875,0.24,0.0,2024-09-14,Online,Bangalore,2962.75
2132,Men,Running,Free RN,3,2.0,6094.6030612244895,0,0.0,2024-09-14,Online,Delhi,3882.22
2135,Men,Basketball,Zoom Freak,3,2.0,9106.61,0.74,4735.44,2024-11-03,Retail,Hyderabad,2422.38
2136,Kids,Training,ZoomX Invincible,3,1.0,6594.948909090909,0,0.0,2024-09-15,Online,Pune,3672.24
2138,Men,Running,Pegasus Turbo,11,2.0,8055.2,0,0.0,2025-06-14,Online,Mumbai,1840.09
2143,Kids,Training,ZoomX Invincible,3,-1.0,6594.948909090909,0,0.0,2025-03-10,Online,Delhi,1006.66
2145,Men,Lifestyle,Blazer Mid,6,0.0,5995.4456451612905,0.67,0.0,2024-07-30,Online,Bangalore,1335.45
2147,Women,Soccer,Phantom GT,4,-1.0,6263.1849999999995,0,0.0,2024-09-14,Online,Hyderabad,-426.53
2150,Women,Basketball,LeBron 20,2,2.0,3313.21,0.48,3445.74,2025-07-06,Online,Bangalore,3221.62
2151,Kids,Soccer,Tiempo Legend,3,4.0,5619.75,0,0.0,2025-05-27,Online,Bangalore,2000.85
2156,Men,Soccer,Tiempo Legend,2,0.0,5638.320256410257,0,0.0,2024-08-31,Online,Pune,-286.07
2158,Women,Running,React Infinity,2,-1.0,6447.061224489796,0.5,0.0,2025-01-28,Online,Mumbai,514.79
2159,Women,Training,ZoomX Invincible,4,2.0,3987.65,0,0.0,2025-01-28,Retail,Delhi,2781.72
2161,Kids,Lifestyle,Waffle One,2,0.0,5119.41,0.8,0.0,2025-03-01,Online,Pune,1956.8
2164,Women,Soccer,Mercurial Superfly,8,0.0,6274.248378378378,0.95,0.0,2024-10-23,Online,Pune,-872.9
2165,Kids,Training,SuperRep Go,3,4.0,4577.65,0,0.0,2024-11-11,Retail,Kolkata,2460.19
2167,Men,Running,React Infinity,4,3.0,3055.79,0,0.0,2025-02-01,Retail,Mumbai,1259.58
2170,Kids,Lifestyle,Air Force 1,2,0.0,6194.755901639345,0,0.0,2025-06-28,Online,Kolkata,3218.82
2173,Men,Running,Free RN,3,-1.0,6620.78,0,0.0,2025-03-29,Online,Bangalore,3770.03
2179,Women,Training,ZoomX Invincible,2,3.0,6594.948909090909,0,0.0,2024-01-26,Retail,Pune,3135.92
2181,Women,Lifestyle,Air Force 1,4,2.0,6194.755901639345,0,0.0,2025-01-06,Retail,Delhi,419.58
2184,Men,Soccer,Mercurial Superfly,4,4.0,6274.248378378378,0,0.0,2025-01-06,Retail,Hyderabad,1980.73
2185,Women,Training,ZoomX Invincible,4,4.0,4207.44,0.59,6900.2,2025-06-08,Online,Kolkata,-615.48
2188,Men,Running,React Infinity,3,-1.0,6447.061224489796,0,0.0,2024-11-09,Online,Pune,1278.03
2189,Men,Training,SuperRep Go,3,3.0,5628.213958333334,0.9,0.0,2024-10-02,Online,Hyderabad,3628.46
2191,Men,Lifestyle,Air Force 1,8,3.0,6194.755901639345,0,0.0,2024-09-28,Retail,Pune,-1032.88
2192,Men,Basketball,Kyrie Flytrap,4,-1.0,5620.632222222222,0,0.0,2023-10-13,Retail,Delhi,554.91
2193,Women,Lifestyle,Waffle One,4,-1.0,5619.815833333333,1.24,0.0,2025-01-17,Retail,Delhi,1803.66
2196,Kids,Soccer,Premier III,3,2.0,2708.73,0,0.0,2025-06-30,Online,Delhi,925.63
2197,Kids,Training,ZoomX Invincible,3,3.0,6594.948909090909,0,0.0,2024-10-06,Online,Bangalore,-418.5
2198,Men,Training,SuperRep Go,7,4.0,5628.213958333334,0.65,0.0,2025-01-05,Online,Pune,-169.33
2199,Men,Soccer,Premier III,2,1.0,5879.875,0,0.0,2025-01-05,Retail,Kolkata,389.94
2200,Men,Basketball,Air Jordan,9,3.0,5570.72,0,0.0,2025-01-05,Online,Delhi,1513.76
2202,Men,Basketball,Kyrie Flytrap,2,-1.0,7918.93,1.06,475.14,2025-07-04,Retail,Bangalore,1994.42
2203,Men,Lifestyle,Air Force 1,2,0.0,6903.22,0,0.0,2025-07-04,Online,Pune,1556.95
2205,Women,Running,React Infinity,4,0.0,6447.061224489796,0,0.0,2025-04-24,Retail,Pune,-467.52
2206,Men,Training,Flex Trainer,2,2.0,5957.5976190476185,0,0.0,2025-04-24,Online,Delhi,-524.85
2214,Men,Basketball,LeBron 20,4,2.0,5016.03,0,0.0,2024-09-23,Retail,Mumbai,1446.0
2215,Men,Basketball,Zoom Freak,4,3.0,6748.174761904761,0.36,0.0,2024-12-16,Online,Kolkata,3254.06
2216,Women,Lifestyle,Air Force 1,2,1.0,3111.62,0,0.0,2024-12-16,Online,Hyderabad,2617.56
2218,Kids,Soccer,Premier III,6,2.0,5879.875,0,0.0,2025-04-15,Online,Bangalore,1440.02
2219,Women,Basketball,Air Jordan,2,-1.0,6064.126491228069,1.06,0.0,2025-04-15,Online,Bangalore,3305.72
2221,Kids,Lifestyle,Waffle One,3,2.0,3375.97,0,0.0,2024-01-06,Retail,Mumbai,-297.05
2222,Men,Training,ZoomX Invincible,4,2.0,8897.19,0.11,15837.0,2024-12-21,Retail,Mumbai,2821.69
2223,Kids,Training,Flex Trainer,2,-1.0,9180.15,0,0.0,2025-02-15,Online,Kolkata,799.28
2231,Kids,Training,Flex Trainer,9,0.0,5957.5976190476185,1.05,0.0,2025-01-04,Online,Bangalore,-39.48
2233,Men,Lifestyle,Air Force 1,4,0.0,6194.755901639345,0,0.0,2024-11-17,Online,Kolkata,2398.07
2042,Men,Basketball,Kyrie Flytrap,10,1.0,5254.47,0,0.0,2025-02-26,Retail,Bangalore,2459.63
2244,Kids,Training,Metcon 7,3,2.0,6019.014594594595,0,0.0,2024-11-07,Online,Delhi,1904.11
2246,Kids,Basketball,LeBron 20,3,-1.0,7806.98,0,0.0,2024-10-02,Online,Hyderabad,-943.35
2248,Men,Training,Metcon 7,2,4.0,8249.96,0.24,25079.88,2024-01-16,Online,Bangalore,1625.14
2253,Men,Training,Flex Trainer,2,0.0,5957.5976190476185,0,0.0,2025-05-18,Online,Bangalore,1516.72
2257,Men,Basketball,Kyrie Flytrap,4,1.0,5620.632222222222,0,0.0,2025-02-09,Online,Mumbai,-365.42
2260,Women,Lifestyle,Dunk Low,2,2.0,6179.874130434783,0,0.0,2024-12-12,Retail,Pune,-352.18
2262,Women,Running,Pegasus Turbo,3,0.0,6047.902291666666,0,0.0,2024-09-15,Retail,Pune,3146.93
2263,Women,Soccer,Premier III,2,0.0,5172.14,0,0.0,2024-10-08,Online,Kolkata,2510.55
2267,Women,Running,Air Zoom,2,-1.0,3075.72,0,0.0,2024-12-20,Retail,Kolkata,238.78
2268,Men,Soccer,Mercurial Superfly,2,3.0,7330.81,0,0.0,2023-11-16,Online,Kolkata,518.71
2269,Women,Training,ZoomX Invincible,11,4.0,6424.32,0,0.0,2024-07-14,Retail,Mumbai,-405.26
2270,Men,Running,React Infinity,4,1.0,6447.061224489796,1.03,0.0,2025-06-06,Retail,Pune,3088.25
2038,Women,Training,ZoomX Invincible,4,1.0,7338.57,0,0.0,2024-10-21,Retail,Delhi,3680.24
2273,Kids,Running,Free RN,2,-1.0,4004.36,0,0.0,2024-01-30,Online,Kolkata,-614.66
2274,Women,Training,Metcon 7,6,4.0,6019.014594594595,0.45,0.0,2025-06-13,Online,Bangalore,2561.89
2275,Kids,Running,Pegasus Turbo,2,-1.0,6047.902291666666,0,0.0,2025-07-03,Online,Pune,-783.71
2276,Kids,Lifestyle,Air Force 1,3,-1.0,6066.5,0,0.0,2023-08-29,Retail,Kolkata,1181.87
2280,Women,Soccer,Mercurial Superfly,2,-1.0,6274.248378378378,0,0.0,2025-02-13,Online,Delhi,3069.57
2281,Kids,Lifestyle,Waffle One,2,2.0,5619.815833333333,0,0.0,2025-07-13,Retail,Kolkata,1753.48
2283,Men,Soccer,Mercurial Superfly,10,1.0,6274.248378378378,0,0.0,2024-08-21,Retail,Delhi,468.59
2285,Women,Basketball,LeBron 20,3,-1.0,6092.007142857143,0,0.0,2024-10-08,Retail,Delhi,2211.71
2287,Women,Running,React Infinity,9,3.0,6447.061224489796,0,0.0,2024-10-16,Online,Mumbai,-650.68
2291,Women,Basketball,LeBron 20,3,-1.0,6092.007142857143,0,0.0,2024-10-20,Retail,Pune,2729.23
2292,Women,Running,Free RN,2,2.0,6094.6030612244895,1.1,0.0,2024-11-05,Online,Kolkata,1192.5
2293,Women,Basketball,Air Jordan,4,3.0,6064.126491228069,0,0.0,2025-05-13,Retail,Mumbai,2525.87
2300,Men,Basketball,Air Jordan,3,3.0,6331.64,0.78,4178.88,2024-08-17,Retail,Delhi,3380.28
2302,Women,Running,Air Zoom,4,0.0,5842.576458333334,0,0.0,2025-02-27,Retail,Hyderabad,1489.99
2303,Kids,Running,Free RN,3,2.0,2504.09,0,0.0,2024-12-24,Retail,Hyderabad,2971.55
2307,Women,Running,Free RN,4,2.0,9369.1,0,0.0,2025-06-18,Retail,Kolkata,2390.7
2026,Women,Training,Flex Trainer,2,4.0,5957.5976190476185,0.26,0.0,2024-09-25,Online,Delhi,495.62
2313,Women,Training,SuperRep Go,2,0.0,5628.213958333334,0,0.0,2024-09-30,Online,Delhi,480.74
2314,Women,Soccer,Mercurial Superfly,2,2.0,6274.248378378378,0.86,0.0,2024-12-09,Retail,Mumbai,1505.11
2316,Men,Soccer,Phantom GT,2,1.0,6263.1849999999995,0.39,0.0,2024-11-12,Retail,Delhi,3862.6
2318,Men,Soccer,Phantom GT,11,2.0,6263.1849999999995,0.25,0.0,2025-04-04,Retail,Delhi,1894.17
2319,Women,Basketball,Kyrie Flytrap,3,-1.0,5649.99,0,0.0,2025-06-29,Online,Delhi,2141.68
2322,Women,Running,Pegasus Turbo,3,0.0,8016.24,0,0.0,2025-04-07,Retail,Delhi,1333.86
2324,Women,Soccer,Mercurial Superfly,2,0.0,6274.248378378378,0.21,0.0,2025-02-27,Online,Kolkata,2640.1
2325,Men,Basketball,Zoom Freak,2,0.0,8031.83,0.56,0.0,2025-05-18,Online,Kolkata,3954.38
2326,Women,Lifestyle,Dunk Low,4,4.0,9936.94,0,0.0,2024-12-10,Retail,Kolkata,2047.65
2327,Men,Training,Flex Trainer,4,4.0,6640.67,0,0.0,2025-03-21,Retail,Delhi,3402.41
2328,Men,Lifestyle,Waffle One,6,2.0,6449.46,0.29,9158.23,2024-11-09,Online,Mumbai,39.69
2329,Men,Basketball,Kyrie Flytrap,3,4.0,4981.26,0,0.0,2025-06-05,Online,Mumbai,1833.07
2334,Women,Training,SuperRep Go,3,4.0,5628.213958333334,0.82,0.0,2024-06-06,Retail,Mumbai,-80.25
2335,Women,Running,Free RN,4,0.0,5620.64,0,0.0,2024-01-05,Online,Mumbai,217.22
2336,Kids,Soccer,Mercurial Superfly,8,4.0,8482.43,0,0.0,2023-10-22,Online,Pune,3854.71
2339,Women,Basketball,LeBron 20,3,4.0,6092.007142857143,0,0.0,2024-10-17,Retail,Kolkata,3196.02
2340,Women,Running,Free RN,7,3.0,6094.6030612244895,0.91,0.0,2024-08-07,Online,Mumbai,-425.99
2344,Kids,Training,ZoomX Invincible,10,-1.0,6594.948909090909,0.65,0.0,2025-06-20,Online,Kolkata,938.88
2349,Kids,Soccer,Tiempo Legend,10,3.0,5638.320256410257,0,0.0,2023-10-25,Online,Delhi,-902.62
2351,Men,Basketball,LeBron 20,11,3.0,4179.34,0,0.0,2024-07-29,Retail,Pune,2363.69
2353,Kids,Training,ZoomX Invincible,9,0.0,6594.948909090909,0.22,0.0,2024-10-03,Retail,Bangalore,818.35
2354,Men,Basketball,Kyrie Flytrap,3,0.0,5620.632222222222,0,0.0,2024-09-06,Online,Hyderabad,1445.09
2355,Women,Lifestyle,Waffle One,3,1.0,5619.815833333333,0,0.0,2024-07-26,Retail,Bangalore,-887.83
2358,Men,Basketball,LeBron 20,2,4.0,6092.007142857143,0,0.0,2025-02-24,Online,Pune,1819.6
2359,Men,Lifestyle,Waffle One,3,-1.0,9836.48,0.34,-6492.08,2025-02-24,Retail,Pune,-874.96
2361,Kids,Training,Flex Trainer,3,0.0,5957.5976190476185,1.06,0.0,2024-07-30,Retail,Mumbai,1302.98
